Year-in-School,Major,Format,Grade
Sophomore,Non-STEM,Online,55
Sophomore,Non-STEM,In-Person,63
Sophomore,Non-STEM,In-Person,66
Freshman,Non-STEM,In-Person,60
Sophomore,STEM,In-Person,70
Sophomore,STEM,Online,63
Freshman,STEM,Online,51
Freshman,STEM,In-Person,72
Freshman,STEM,Online,43
Sophomore,Non-STEM,In-Person,73
Freshman,STEM,Online,50
Sophomore,Non-STEM,In-Person,85
Sophomore,Non-STEM,In-Person,71
Freshman,STEM,Online,54
Freshman,Non-STEM,In-Person,49
Freshman,Non-STEM,Online,31
Freshman,Non-STEM,Online,28
Freshman,Non-STEM,Online,26
Freshman,Non-STEM,Online,33
Freshman,STEM,Online,44
Freshman,STEM,Online,29
Freshman,Non-STEM,Online,42
Sophomore,STEM,In-Person,81
Sophomore,Non-STEM,In-Person,75
Freshman,Non-STEM,Online,35
Freshman,Non-STEM,Online,23
Sophomore,STEM,Online,72
Sophomore,STEM,Online,68
Freshman,STEM,In-Person,74
Freshman,Non-STEM,In-Person,60
Freshman,STEM,In-Person,63
Freshman,STEM,In-Person,70
Sophomore,STEM,In-Person,86
Sophomore,Non-STEM,In-Person,77
Sophomore,STEM,In-Person,82
Freshman,STEM,Online,31
Sophomore,Non-STEM,In-Person,68
Sophomore,STEM,In-Person,69
Freshman,Non-STEM,Online,36
Freshman,Non-STEM,Online,23
Freshman,Non-STEM,Online,27
Freshman,STEM,In-Person,76
Freshman,STEM,Online,57
Freshman,STEM,In-Person,80
Freshman,Non-STEM,Online,41
Sophomore,Non-STEM,Online,61
Sophomore,Non-STEM,Online,57
Sophomore,Non-STEM,In-Person,71
Freshman,Non-STEM,Online,22
Freshman,Non-STEM,Online,27
Freshman,STEM,In-Person,73
Freshman,STEM,Online,28
Freshman,Non-STEM,Online,33
Sophomore,Non-STEM,In-Person,90
Sophomore,STEM,Online,71
Freshman,Non-STEM,In-Person,68
Freshman,Non-STEM,Online,49
Freshman,STEM,Online,60
Freshman,STEM,In-Person,79
Sophomore,Non-STEM,In-Person,68
Sophomore,Non-STEM,Online,70
Sophomore,Non-STEM,Online,58
Freshman,STEM,In-Person,65
Freshman,STEM,In-Person,59
Freshman,STEM,Online,32
Sophomore,STEM,Online,76
Freshman,STEM,Online,41
Freshman,STEM,Online,31
Sophomore,Non-STEM,In-Person,69
Sophomore,Non-STEM,In-Person,60
Freshman,Non-STEM,In-Person,61
Freshman,Non-STEM,Online,19
Sophomore,Non-STEM,In-Person,65
Freshman,Non-STEM,Online,26
Freshman,STEM,In-Person,74
Sophomore,Non-STEM,In-Person,60
Sophomore,Non-STEM,Online,77
Freshman,Non-STEM,In-Person,80
Sophomore,STEM,Online,59
Freshman,Non-STEM,In-Person,58
Sophomore,STEM,Online,66
Freshman,STEM,Online,25
Freshman,Non-STEM,Online,25
Sophomore,Non-STEM,In-Person,71
Sophomore,Non-STEM,Online,55
Freshman,Non-STEM,Online,37
Freshman,STEM,Online,29
Sophomore,Non-STEM,In-Person,62
Freshman,Non-STEM,In-Person,53
Freshman,Non-STEM,In-Person,54
Sophomore,Non-STEM,In-Person,88
Sophomore,STEM,In-Person,87
Sophomore,STEM,In-Person,84
Freshman,Non-STEM,Online,40
Sophomore,Non-STEM,In-Person,80
Freshman,STEM,Online,36
Sophomore,Non-STEM,In-Person,69
Sophomore,STEM,Online,66
Sophomore,Non-STEM,In-Person,68
Freshman,STEM,In-Person,68
Freshman,STEM,Online,40
Sophomore,STEM,In-Person,81
Freshman,STEM,Online,44
Freshman,STEM,In-Person,77
Sophomore,STEM,In-Person,77
Sophomore,Non-STEM,In-Person,70
Freshman,STEM,In-Person,56
Freshman,STEM,Online,49
Freshman,STEM,In-Person,81
Freshman,STEM,Online,37
Freshman,Non-STEM,In-Person,57
Sophomore,Non-STEM,Online,42
Freshman,Non-STEM,In-Person,70
Sophomore,STEM,In-Person,75
Sophomore,Non-STEM,Online,61
Freshman,Non-STEM,Online,30
Sophomore,Non-STEM,Online,47
Sophomore,Non-STEM,In-Person,64
Freshman,Non-STEM,In-Person,52
Freshman,Non-STEM,In-Person,58
Freshman,Non-STEM,Online,24
Sophomore,STEM,In-Person,85
Freshman,Non-STEM,Online,23
Freshman,STEM,Online,41
Freshman,STEM,Online,53
Sophomore,Non-STEM,Online,60
Sophomore,Non-STEM,Online,67
Freshman,STEM,Online,51
Freshman,STEM,Online,52
Freshman,STEM,Online,27
Freshman,Non-STEM,Online,29
Sophomore,Non-STEM,In-Person,60
Sophomore,Non-STEM,Online,51
Sophomore,Non-STEM,In-Person,87
Freshman,Non-STEM,In-Person,55
Freshman,Non-STEM,In-Person,55
Sophomore,Non-STEM,In-Person,68
Sophomore,Non-STEM,Online,35
Sophomore,Non-STEM,In-Person,69
Sophomore,STEM,Online,73
Sophomore,Non-STEM,In-Person,81
Sophomore,STEM,In-Person,79
Freshman,Non-STEM,Online,27
Sophomore,Non-STEM,Online,69
Sophomore,Non-STEM,Online,55
Freshman,Non-STEM,Online,28
Sophomore,STEM,Online,71
Sophomore,STEM,Online,79
Sophomore,STEM,Online,57
Freshman,Non-STEM,Online,37
Sophomore,Non-STEM,In-Person,73
Freshman,Non-STEM,Online,42
Freshman,Non-STEM,Online,26
Freshman,STEM,In-Person,80
Sophomore,Non-STEM,In-Person,71
Freshman,STEM,In-Person,80
Freshman,Non-STEM,In-Person,60
Freshman,Non-STEM,In-Person,62
Sophomore,Non-STEM,In-Person,63
Freshman,STEM,In-Person,63
Freshman,Non-STEM,In-Person,58
Freshman,STEM,Online,57
Freshman,Non-STEM,Online,42
Freshman,STEM,In-Person,52
Freshman,STEM,Online,50
Freshman,STEM,Online,49
Sophomore,Non-STEM,Online,63
Sophomore,Non-STEM,In-Person,69
Freshman,Non-STEM,Online,27
Freshman,Non-STEM,In-Person,50
Sophomore,STEM,In-Person,81
Freshman,STEM,In-Person,67
Sophomore,Non-STEM,Online,55
Sophomore,STEM,Online,83
Sophomore,STEM,Online,83
Freshman,Non-STEM,In-Person,57
Sophomore,Non-STEM,In-Person,73
Freshman,STEM,Online,48
Freshman,STEM,In-Person,76
Sophomore,Non-STEM,Online,65
Freshman,Non-STEM,Online,22
Freshman,STEM,In-Person,50
Sophomore,Non-STEM,Online,65
Freshman,Non-STEM,Online,22
Sophomore,STEM,In-Person,79
Freshman,Non-STEM,In-Person,58
Sophomore,STEM,In-Person,73
Freshman,Non-STEM,In-Person,64
Freshman,Non-STEM,In-Person,67
Freshman,STEM,Online,43
Freshman,STEM,In-Person,66
Sophomore,Non-STEM,In-Person,72
Sophomore,Non-STEM,Online,67
Freshman,Non-STEM,In-Person,64
Sophomore,Non-STEM,In-Person,69
Freshman,Non-STEM,In-Person,55
Sophomore,STEM,In-Person,93
Freshman,Non-STEM,In-Person,58
Sophomore,Non-STEM,In-Person,55
Freshman,Non-STEM,Online,24
Freshman,Non-STEM,In-Person,67
Freshman,Non-STEM,In-Person,53
Freshman,Non-STEM,In-Person,60
Freshman,Non-STEM,Online,20
Freshman,STEM,Online,44
Freshman,Non-STEM,In-Person,68
Freshman,Non-STEM,In-Person,44
Sophomore,Non-STEM,Online,52
Freshman,Non-STEM,In-Person,55
Freshman,Non-STEM,In-Person,47
Freshman,Non-STEM,In-Person,56
Freshman,Non-STEM,In-Person,53
Freshman,STEM,Online,41
Freshman,Non-STEM,In-Person,59
Freshman,Non-STEM,In-Person,51
Sophomore,STEM,In-Person,84
Freshman,Non-STEM,In-Person,56
Freshman,Non-STEM,Online,29
Freshman,Non-STEM,In-Person,68
Freshman,STEM,Online,42
Freshman,Non-STEM,Online,15
Freshman,STEM,Online,42
Sophomore,Non-STEM,Online,68
Sophomore,Non-STEM,In-Person,73
Freshman,Non-STEM,Online,22
Freshman,Non-STEM,In-Person,72
Sophomore,Non-STEM,Online,56
Sophomore,Non-STEM,Online,55
Freshman,Non-STEM,Online,25
Freshman,STEM,Online,40
Freshman,Non-STEM,Online,43
Freshman,Non-STEM,In-Person,44
Freshman,STEM,In-Person,73
Freshman,Non-STEM,In-Person,67
Sophomore,STEM,Online,82
Freshman,STEM,Online,45
Freshman,Non-STEM,In-Person,56
Freshman,Non-STEM,In-Person,57
Sophomore,Non-STEM,Online,58
Freshman,Non-STEM,In-Person,72
Freshman,STEM,Online,57
Freshman,Non-STEM,Online,37
Freshman,Non-STEM,Online,33
Freshman,STEM,In-Person,69
Sophomore,Non-STEM,In-Person,83
Freshman,Non-STEM,Online,25
Freshman,Non-STEM,In-Person,55
Freshman,Non-STEM,Online,38
Freshman,Non-STEM,Online,29
Freshman,STEM,In-Person,65
Sophomore,Non-STEM,Online,44
Freshman,STEM,In-Person,72
Sophomore,STEM,Online,78
Freshman,Non-STEM,In-Person,47
Sophomore,Non-STEM,In-Person,74
Sophomore,STEM,Online,72
Sophomore,STEM,In-Person,76
Sophomore,STEM,Online,70
Sophomore,Non-STEM,In-Person,74
Freshman,STEM,Online,27
Freshman,Non-STEM,In-Person,47
Sophomore,Non-STEM,In-Person,73
Freshman,Non-STEM,Online,34
Freshman,Non-STEM,Online,37
Freshman,Non-STEM,In-Person,75
Freshman,Non-STEM,In-Person,56
Freshman,Non-STEM,In-Person,46
Freshman,STEM,Online,49
